17/08/2022 10:28:47 192.168.56.1 640x360@24 / 640x360@24 4794 Kbps 0 KB 14.97 s 
17/08/2022 10:31:31 192.168.56.1 640x360@30 / 640x360@30 15752 Kbps 0 KB 16.81 s 23.34s
17/08/2022 10:31:32 192.168.56.1 640x360@30 / 640x360@30 15752 Kbps 0 KB 15.80 s 23.34s
17/08/2022 10:31:33 192.168.56.1 640x360@30 / 640x360@30 15752 Kbps 0 KB 14.80 s 23.45s
17/08/2022 10:31:35 192.168.56.1 640x360@30 / 640x360@30 16164 Kbps 0 KB 18.78 s 23.45s
17/08/2022 10:31:36 192.168.56.1 640x360@30 / 640x360@30 16164 Kbps 0 KB 17.77 s 23.45s
17/08/2022 10:31:37 192.168.56.1 640x360@30 / 640x360@30 16941 Kbps 172 KB 21.25 s 23.45s
17/08/2022 10:31:38 192.168.56.1 640x360@30 / 640x360@30 16941 Kbps 0 KB 20.25 s 23.45s
17/08/2022 10:31:39 192.168.56.1 640x360@30 / 640x360@30 16941 Kbps 0 KB 19.24 s 23.34s
17/08/2022 10:31:40 192.168.56.1 640x360@30 / 640x360@30 16941 Kbps 0 KB 18.23 s 23.34s
17/08/2022 10:31:41 192.168.56.1 640x360@30 / 640x360@30 7746 Kbps 0 KB 22.23 s 23.34s
17/08/2022 10:31:42 192.168.56.1 640x360@30 / 640x360@30 7746 Kbps 0 KB 21.23 s 23.34s
17/08/2022 10:31:43 192.168.56.1 640x360@30 / 640x360@30 7746 Kbps 0 KB 20.22 s 23.34s
17/08/2022 10:31:44 192.168.56.1 640x360@30 / 640x360@30 7746 Kbps 0 KB 18.72 s 23.43s
17/08/2022 10:31:45 192.168.56.1 640x360@30 / 640x360@30 7746 Kbps 0 KB 17.71 s 23.43s
17/08/2022 10:31:46 192.168.56.1 640x360@30 / 640x360@30 7517 Kbps 0 KB 21.70 s 23.43s
17/08/2022 10:31:48 192.168.56.1 640x360@30 / 640x360@30 7517 Kbps 0 KB 20.70 s 23.43s
17/08/2022 10:31:49 192.168.56.1 640x360@30 / 640x360@30 7517 Kbps 0 KB 19.69 s 23.34s
17/08/2022 10:31:50 192.168.56.1 640x360@30 / 640x360@30 7517 Kbps 0 KB 18.69 s 23.34s
17/08/2022 10:31:51 192.168.56.1 640x360@30 / 640x360@30 7517 Kbps 0 KB 22.17 s 23.34s
17/08/2022 10:31:52 192.168.56.1 640x360@30 / 640x360@30 7747 Kbps 0 KB 21.16 s 23.34s
17/08/2022 10:31:53 192.168.56.1 640x360@30 / 640x360@30 7747 Kbps 0 KB 20.15 s 23.34s
17/08/2022 10:31:54 192.168.56.1 640x360@30 / 640x360@30 7747 Kbps 0 KB 19.15 s 23.45s
17/08/2022 10:31:55 192.168.56.1 640x360@30 / 640x360@30 7747 Kbps 0 KB 18.14 s 23.45s
17/08/2022 10:31:56 192.168.56.1 640x360@30 / 640x360@30 7748 Kbps 0 KB 22.14 s 23.45s
17/08/2022 10:31:57 192.168.56.1 640x360@30 / 640x360@30 7748 Kbps 0 KB 21.14 s 23.45s
17/08/2022 10:31:58 192.168.56.1 640x360@30 / 640x360@30 7748 Kbps 0 KB 19.63 s 23.34s
17/08/2022 10:31:59 192.168.56.1 640x360@30 / 640x360@30 7748 Kbps 0 KB 18.62 s 23.34s
